doc_id,text,date,client,machine_id,problem_category,key_component,source_file,source_sheet
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|10|SSLM|2022-11-22,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|10|SSLM|2022-11-22
日期：2022-11-22 00:00:00
客戶：南亞
機台編號：SSLM
問題分類：軟體與驅動
關鍵元件：VLS
症狀：機台電腦 卡頓
處理方式：2023/04/14  
中科四合 SSLM21007SK (售服Gino) 回報有同樣的卡頓問題
且檢測時間過久 (UnitNum: 10030 , InspectTime 2Xsec)
關掉C# Handler後，機台的卡頓狀況改善 
VLS檢測時間正常(UnitNum: 10030 , InspectTime 17sec)
完整內容：發生日期: 2022-11-22
客戶: 南亞
機台編號: SSLM
問題分類: 軟體與驅動
關鍵元件: VLS
問題現象: 機台電腦 卡頓
CPU使用率9X%
(C# Handler) 機台試跑一段時間後，軟體操作卡頓
跑機時間 X hours 後(隔天) 會開始Lag，Handler關閉後
VLS 操作正常。
維修處理: 2023/04/14  
中科四合 SSLM21007SK (售服Gino) 回報有同樣的卡頓問題
且檢測時間過久 (UnitNum: 10030 , InspectTime 2Xsec)
關掉C# Handler後，機台的卡頓狀況改善 
VLS檢測時間正常(UnitNum: 10030 , InspectTime 17sec)
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2022-11-22 00:00:00,南亞,SSLM,軟體與驅動,VLS,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|11|SSST30001TC|2023-04-17,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|11|SSST30001TC|2023-04-17
日期：2023-04-17 00:00:00
客戶：中科四合
機台編號：SSST30001TC
問題分類：訊號與干擾
關鍵元件：CCD, 相機
症狀：下CCD掃像失敗 查看LOG   僅背面掃像Trigger Count 為0   ( 相機、擷取卡 Init OK)
處理方式：結案
完整內容：發生日期: 2023-04-17
客戶: 中科四合
機台編號: SSST30001TC
問題分類: 訊號與干擾
關鍵元件: CCD, 相機
問題現象: 下CCD掃像失敗 查看LOG   僅背面掃像Trigger Count 為0   ( 相機、擷取卡 Init OK)
期間Handler(C#) 程式有更新過，Handler 更換回舊版 正/背掃像正常 有Count 

請Handler (電控_聖修)查看 是否有異動到掃像流程。結案。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-04-17 00:00:00,中科四合,SSST30001TC,訊號與干擾,"CCD, 相機",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|12|SSLM21010NR|2023-04-14,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|12|SSLM21010NR|2023-04-14
日期：2023-04-14 00:00:00
客戶：昆山南亞
機台編號：SSLM21010NR
問題分類：光源系統
症狀：DM_reader
處理方式：將 DM_Reader 的""公用""打勾)
完整內容：發生日期: 2023-04-14
客戶: 昆山南亞
機台編號: SSLM21010NR
問題分類: 光源系統
關鍵元件: N/A
問題現象: DM_reader 
系統重灌後,取像失敗
(pylon Viewer 可正常取像) 2D站-連線正常,且pylon viewer 可正常取像。
網卡等…設定也重新確認過，DMreader仍取像失敗。

宗倫指示 防火牆設定需修改。
( 設定→防火牆→允許應用程式透過Windows Defender防火牆通訊
將 DM_Reader 的""公用""打勾)
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-04-14 00:00:00,昆山南亞,SSLM21010NR,光源系統,,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|13|SSLM21012SR|2023-05-12,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|13|SSLM21012SR|2023-05-12
日期：2023-05-12 00:00:00
客戶：深南
機台編號：SSLM21012SR
問題分類：訊號與干擾
關鍵元件：Trigger卡, VLS
症狀：B台車取像失敗 1. 5/12 查看LOG
處理方式：不代表一定取像成功
完整內容：發生日期: 2023-05-12
客戶: 深南
機台編號: SSLM21012SR
問題分類: 訊號與干擾
關鍵元件: Trigger卡, VLS
問題現象: B台車取像失敗 1. 5/12 查看LOG，Trigger Count為0。
2. 5/15 更換OVP、TTL Trigger卡，一樣B車取像失敗。

3.A車訊號源接至OVP CMP2-、B車訊號源接至OVP CMP1-（INI：TriggerInput也需一同切換），VLS B車有影像，判定OVP、TTL Trigger卡都正常，應該是4XMO-C有問題。

4. 5/16 更換4XMO-C，B車有Trigger Count 32502，但仍取像失敗。
5.取像速度360mm/s改350mm/s，A/B台車取像都正常，判定為訊號干擾，部份訊號不被認為有效訊號，故取像會失敗，可試著重新整線。
注意：Trigger Count數量正確，不代表一定取像成功
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-05-12 00:00:00,深南,SSLM21012SR,訊號與干擾,"Trigger卡, VLS",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|14|SSLM21008SRNS|2023-06-16,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|14|SSLM21008SRNS|2023-06-16
日期：2023-06-16 00:00:00
客戶：深南
機台編號：SSLM21008SRNS
問題分類：訊號與干擾
症狀：取像比例異常 售服_段小軍 回報影像比例異常並回傳右圖
處理方式：校正後忘記將參數改回 TriggerMode
完整內容：發生日期: 2023-06-16
客戶: 深南
機台編號: SSLM21008SRNS
問題分類: 訊號與干擾
關鍵元件: N/A
問題現象: 取像比例異常 售服_段小軍 回報影像比例異常並回傳右圖
(透過微信影像失真無法判斷)

觀察燈號為綠燈常亮(FreeRun)導致，
切為 綠燈閃爍(TriggerMode)後正常。

具售服回報 先前機台有校正過
且都沒在生產 故無發現此問題
研判為 人為問題，校正後忘記將參數改回 TriggerMode。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-06-16 00:00:00,深南,SSLM21008SRNS,訊號與干擾,,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
"20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|15|SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR|2023-04-26","【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|15|SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR|2023-04-26
日期：2023-04-26 00:00:00
客戶：昆山南亞
機台編號：SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR
問題分類：軟體與驅動
關鍵元件：VLS, 硬碟
症狀：機台不動作
處理方式：參附頁_雷射機死機對策
完整內容：發生日期: 2023-04-26
客戶: 昆山南亞
機台編號: SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR
問題分類: 軟體與驅動
關鍵元件: VLS, 硬碟
問題現象: 機台不動作，且亮綠燈
SSLM22102軟體自動關閉
SSLM21011畫面卡死不動
(每班均有死機狀況) 6/21 6/12-6/20 未發生閃退問題
6/14 請售服驗證舊功能無問題，更新有LOG紀錄的版本。
6/9 11NR~10NR  HANDLER 有出现閃退，LOG已回傳
5/31 5/22~29 未發生卡住死機問題
5/30 請售服撈取5/22~5/30 LOG 分析
5/23 持續分析
5/22 上周售服提供LOG，目前分析狀況為接收視覺回傳異常會停住
(視覺辨識完, Handler不明原因等待過久-逾時)
5/17 請售服與請客戶安排換硬碟重裝系統時間。
5/9 預計安排更換硬碟並重灌，刪除多餘安裝程式 (右圖)
刪除後沒再發生空白Log
4/27 環境安裝、跑料測試
4/26 預計SSLM21011 重灌系統
(VLS、DMreader 記錄到大量空白Log)
4/24_觀察至今系統無死機狀況發生
參附頁_雷射機死機對策
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-04-26 00:00:00,昆山南亞,"SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR",軟體與驅動,"VLS, 硬碟",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
"20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|16|SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR|2023-07-05","【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|16|SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR|2023-07-05
日期：2023-07-05 00:00:00
客戶：昆山南亞
機台編號：SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR
問題分類：軟體與驅動
關鍵元件：相機
症狀：程式可以執行
處理方式：注意! 專案版本 與 HalconRoot版本不同會造成此問題
完整內容：發生日期: 2023-07-05
客戶: 昆山南亞
機台編號: SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR
問題分類: 軟體與驅動
關鍵元件: 相機
問題現象: 程式可以執行  
,相機沒辦法連線 [廠內-測試專案]
程式可以執行  相機沒辦法連線

HALCON error #5330: Image acquisition: could not query parameter setting in operator open_framegrabber

解決方式：
關閉專案，切換Halcon 版本到12，重開專案並啟動後OK。

注意! 專案版本 與 HalconRoot版本不同會造成此問題。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-07-05 00:00:00,昆山南亞,"SSLM21010NR
SSLM21011NR
SSLM22101NR
SSLM22102NR",軟體與驅動,相機,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|17|SSST30002WSD|2023-07-06,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|17|SSST30002WSD|2023-07-06
日期：2023-07-06 00:00:00
客戶：鵬鼎
機台編號：SSST30002WSD
問題分類：軟體與驅動
關鍵元件：VLS, 影像擷取卡
症狀：電腦強制重啟後
處理方式：系統還原後OK
完整內容：發生日期: 2023-07-06
客戶: 鵬鼎
機台編號: SSST30002WSD
問題分類: 軟體與驅動
關鍵元件: VLS, 影像擷取卡
問題現象: 電腦強制重啟後

VLS
警報
影像擷取卡
cannot be initialized 售服:段小軍

鵬鼎 SSST30002WSD
Handler軟體當掉後，OP強制重啟電腦，後續發生 兩張擷取卡initial異常

7/6 遠端連線至機台操作 ,SiSo也無法連到卡片(SiSo異常訊息如右圖所示)
重灌SiSo也檢查過卡片的DLL，皆無法連線。
02WSD的擷取卡 拆去它台,可以取像(確認卡片無問題)

目前對策: 先做02WSD 系統還原，或電腦主機板換掉。

系統還原後OK。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-07-06 00:00:00,鵬鼎,SSST30002WSD,軟體與驅動,"VLS, 影像擷取卡",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|18|SSLM21003NR|2023-07-19,"【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|18|SSLM21003NR|2023-07-19
日期：2023-07-19 00:00:00
客戶：南亞
機台編號：SSLM21003NR
問題分類：訊號與干擾
關鍵元件：VLS, 五代卡, 硬碟
症狀：VLS更新版後
處理方式：先發 主機板物料 並請售服 更換測試
完整內容：發生日期: 2023-07-19
客戶: 南亞
機台編號: SSLM21003NR
問題分類: 訊號與干擾
關鍵元件: VLS, 五代卡, 硬碟
問題現象: VLS更新版後
AorB車背面取像失敗 7/19 更新VLS v1.3.1.1→v1.3.7.14 後，
自動生產(V=500mm/s)時偶發A車背面取像失敗
改掃像速度(V=400mm/s)後，變為B車背面偶發取像失敗。 
加長掃像距離(訊號數量)也是NG
對策：
開啟DebugLog=true  紀錄取像流程有無問題。
理論上開 此INI就會沒問題GrabProgramMode=1  // 1:Thread(預設值)

8/23測試： 更換一張四代卡 → NG仍偶發取像失敗
(v1.3.7.14 → NG，v1.3.6.5 → OK，v1.3.7.2 → NG)
9/12測試： 
1.更換成五代卡搭配VLS v1.3.7.14 , INI切 GrabProgramMode=1 → NG
2. 換回VLS v1.3.1.1(舊版) +五代卡(GrabProgramMode=0) → OK
3. VLS v2.0.0.12 +五代卡(GrabProgramMode=1) →NG
4. VLS v2.0.0.12 +五代卡(GrabProgramMode=0) →NG


11/16 更換一顆新硬碟 (其系統為SSLM21003NR的出機備份)→NG
12/20 (三)外借SSLM21001NRT 之IPC→更換後測試OK。
(備註：該台為win10的全新作業環境)

12/26 同世成-討論後
電腦成本5萬-過高  懷疑是主機板問題
先發 主機板物料 並請售服 更換測試
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-07-19 00:00:00,南亞,SSLM21003NR,訊號與干擾,"VLS, 五代卡, 硬碟",20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
"20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|19|SSLM
(VAS)|2023-09-15","【維修案例】
案例ID：20251227-LineScan Strip機台軟硬體問題記錄.xlsx|軟體相關問題|19|SSLM
(VAS)|2023-09-15
日期：2023-09-15 00:00:00
客戶：興森快捷
機台編號：SSLM
(VAS)
問題分類：訊號與干擾
症狀：機台取像失敗
處理方式：退出掃毒後-測試OK
完整內容：發生日期: 2023-09-15
客戶: 興森快捷
機台編號: SSLM
(VAS)
問題分類: 訊號與干擾
關鍵元件: N/A
問題現象: 機台取像失敗
(黑畫面) 客戶：興森快捷-趙永生
(影片中掃像時燈有開啟，排除沒開燈的問題)
SSLM(VAS舊機)突發 取像失敗, LOG 觀察 
偶發LCamGrab取像失敗， 連10%的訊號(影像)都取無

客戶自行發現是 掃毒軟件影響到，退出掃毒後-測試OK。
維修處理: 
更換硬體:
來源檔案：20251227-LineScan Strip機台軟硬體問題記錄.xlsx
來源工作表：軟體相關問題",2023-09-15 00:00:00,興森快捷,"SSLM
(VAS)",訊號與干擾,,20251227-LineScan Strip機台軟硬體問題記錄.xlsx,軟體相關問題
